m/z,feature importance
768.5863037109375,1.0
357.0700378417969,0.6933161
746.602294921875,0.6456513
633.1724853515625,0.57327557
897.7254638671875,0.5336181
560.5007934570312,0.4823874
348.1904296875,0.4720059
621.4829711914062,0.42090294
612.4534301757812,0.41992787
607.4336547851562,0.41776568
896.48046875,0.36800984
398.2381591796875,0.35527623
883.7710571289062,0.35278755
796.5250244140625,0.34410268
829.7235107421875,0.33740586
481.2093811035156,0.33683604
870.5366821289062,0.3331408
545.4514770507812,0.33136782
423.1720275878906,0.32479343
541.3666381835938,0.32260945
319.2617492675781,0.32119364
889.7008056640625,0.31792513
848.5576782226562,0.31251016
361.2098388671875,0.31230712
818.5940551757812,0.311573
491.09893798828125,0.30766782
804.6096801757812,0.30673325
695.4596557617188,0.30194044
364.3096923828125,0.30150744
441.2362060546875,0.29991153
702.5443115234375,0.29889426
406.16778564453125,0.2986528
347.04547119140625,0.29812455
860.6121215820312,0.2958147
766.5714111328125,0.29553097
313.2720031738281,0.29223964
772.5211181640625,0.29061523
729.4780883789062,0.29036894
635.5023803710938,0.28997943
780.55078125,0.28977183
365.31964111328125,0.28873175
447.2859191894531,0.28727373
602.1638793945312,0.28602967
572.1902465820312,0.28546086
676.4555053710938,0.28533605
874.7315063476562,0.28427255
365.2796630859375,0.28219396
476.3595886230469,0.2810538
802.5897827148438,0.2761628
515.3478393554688,0.27271393
577.52001953125,0.2725262
767.2113647460938,0.27130115
348.2804260253906,0.2691554
365.0296630859375,0.2680939
874.4915161132812,0.26543006
382.2088928222656,0.2645477
630.6176147460938,0.26242235
623.5029296875,0.25782713
766.5413818359375,0.25781447
810.5994262695312,0.25573498
769.4762573242188,0.2551031
665.3809814453125,0.25141335
634.4074096679688,0.25069958
518.49267578125,0.2506287
740.5526123046875,0.250144
706.5391235351562,0.24865362
781.61572265625,0.2486487
720.5885009765625,0.2482885
878.5263061523438,0.24684933
858.5621948242188,0.24667092
465.235107421875,0.24586868
832.5233764648438,0.2417782
735.4927978515625,0.2408887
707.4990844726562,0.2408455
415.2223815917969,0.24061935
352.1202392578125,0.24060051
510.3580627441406,0.23983407
862.5570678710938,0.23950683
744.58740234375,0.2389363
382.3188781738281,0.23798269
740.5225830078125,0.23791827
504.34332275390625,0.23360832
522.3574829101562,0.23350263
302.1025390625,0.23245813
495.26373291015625,0.23203418
551.326171875,0.2310032
651.5316162109375,0.2309454
859.7671508789062,0.23030245
818.509033203125,0.23013611
828.5535888671875,0.22969589
622.3679809570312,0.2279137
385.103759765625,0.22700714
513.3329467773438,0.22632977
750.5421142578125,0.22548811
913.69970703125,0.22485302
782.5056762695312,0.22476582
756.5518798828125,0.22310205
810.5394287109375,0.2222156
322.1416015625,0.21958128
718.53857421875,0.21883075
383.3288269042969,0.21820793
812.54931640625,0.21816885
473.2697448730469,0.21763138
709.5139770507812,0.21701059
778.535888671875,0.21631014
799.669921875,0.21441045
866.5818481445312,0.21318282
617.51318359375,0.20936044
523.4724731445312,0.20896311
401.3380126953125,0.20880736
384.0038146972656,0.20794614
864.5669555664062,0.20762178
809.6494140625,0.20706402
797.5899658203125,0.20478359
947.503173828125,0.20459619
741.5275268554688,0.20321795
318.1067810058594,0.20294154
751.4071044921875,0.20248446
763.4615478515625,0.20191547
350.1103515625,0.20151533
846.5377807617188,0.20088369
413.2624816894531,0.19894177
542.3215942382812,0.1986633
827.70361328125,0.19826753
590.1544189453125,0.19812967
366.28961181640625,0.19779237
533.3569946289062,0.19761066
734.56787109375,0.19685811
849.6226196289062,0.19662051
537.391845703125,0.19633642
549.4862670898438,0.19610754
697.4745483398438,0.19542757
770.5062255859375,0.19532251
801.4248046875,0.19528791
820.52392578125,0.19466428
796.6300659179688,0.19448754
605.3787231445312,0.19390768
343.045654296875,0.19385134
308.1622619628906,0.19317847
513.2579345703125,0.19297631
430.3766784667969,0.19200492
415.3173828125,0.19179085
323.2715759277344,0.19168976
817.55908203125,0.18998662
468.28497314453125,0.18996151
421.2720947265625,0.18967877
776.5909423828125,0.18955427
649.5167236328125,0.18945608
885.666015625,0.1894239
806.5645751953125,0.18919413
605.5487060546875,0.18897668
792.5652465820312,0.18871498
769.561279296875,0.18869065
852.5125122070312,0.18863112
745.4773559570312,0.18852973
731.6029663085938,0.1880898
537.5217895507812,0.18755443
737.4526977539062,0.18743308
627.53271484375,0.18644777
686.5850219726562,0.18633632
703.5742797851562,0.18619367
758.5667724609375,0.18605058
931.5289306640625,0.18529843
728.5181274414062,0.18419838
335.9709777832031,0.18350776
469.2899169921875,0.18322827
875.50146484375,0.18312417
550.3562622070312,0.18307927
461.0852966308594,0.18254136
735.5328369140625,0.18194152
784.5255737304688,0.18112612
824.5537719726562,0.1808259
518.3226928710938,0.18012032
496.33868408203125,0.18004927
721.4784545898438,0.17965817
367.1445617675781,0.17739645
796.5850219726562,0.17671521
591.494384765625,0.17665847
682.4552001953125,0.17647223
754.5369262695312,0.17570421
663.4511108398438,0.1755725
427.3818359375,0.17518371
809.449462890625,0.17452054
732.552978515625,0.17372368
619.528076171875,0.17353736
549.3562622070312,0.1733317
570.5203247070312,0.17249784
685.4351196289062,0.17241588
845.6727905273438,0.17219678
383.0838317871094,0.17168407
385.34375,0.17152315
497.2786560058594,0.17117752
381.3139343261719,0.17089319
718.5736083984375,0.1706476
347.1304626464844,0.1699339
337.2759094238281,0.16905004
808.5794677734375,0.1689211
811.6643676757812,0.16863826
325.2864685058594,0.16815148
413.3024597167969,0.16813335
551.3712158203125,0.16810197
367.3345642089844,0.16776758
521.3975219726562,0.16760871
458.13043212890625,0.16678694
739.4676513671875,0.16609016
787.4654541015625,0.16599147
941.4884643554688,0.16570024
668.600830078125,0.16429329
370.1744384765625,0.16388711
346.2605285644531,0.16339476
856.5823364257812,0.16333161
834.538330078125,0.16271529
548.5413208007812,0.16254482
760.5816650390625,0.16249202
374.1092529296875,0.16236721
371.0444030761719,0.16149208
855.4973754882812,0.16138937
788.5504150390625,0.1610759
465.3901062011719,0.16035485
826.5686645507812,0.16002628
858.5272216796875,0.15984389
584.3046875,0.15933406
402.1379699707031,0.15932588
311.2671203613281,0.15901439
872.4815673828125,0.15851134
534.2919921875,0.15831503
709.4739990234375,0.15736756
879.7362670898438,0.15718123
319.9967041015625,0.1560844
371.3193664550781,0.15563555
615.1582641601562,0.1555144
752.5570678710938,0.15543443
844.5228881835938,0.15539134
882.5611572265625,0.1551297
567.4304809570312,0.15493244
655.5614624023438,0.15391795
643.197021484375,0.1525885
571.4702758789062,0.15256286
551.5011596679688,0.15182523
761.45166015625,0.15157115
858.5922241210938,0.15100728
838.55810546875,0.15085691
825.6237182617188,0.14986373
562.32568359375,0.14978957
369.3494567871094,0.14969295
408.2976989746094,0.14966185
881.5111694335938,0.14960666
836.6132202148438,0.14954117
744.492431640625,0.14912112
794.5101318359375,0.14909512
670.6107788085938,0.14889029
601.5189208984375,0.14822122
563.5006103515625,0.14800084
424.2569580078125,0.14687075
662.4461669921875,0.14670283
457.28045654296875,0.14487249
813.6842651367188,0.14480793
782.565673828125,0.14474325
856.50732421875,0.14442405
374.16925048828125,0.14425002
769.2262573242188,0.14414848
616.1732177734375,0.142508
836.543212890625,0.1424159
816.5791015625,0.1409796
320.1617126464844,0.14095065
538.5217895507812,0.14052834
402.9929504394531,0.14042868
529.3272094726562,0.14040528
871.4716186523438,0.14024623
832.5833740234375,0.13979585
542.4915771484375,0.13974275
645.4069213867188,0.13964333
589.4794311523438,0.13904819
334.26104736328125,0.13850623
811.46435546875,0.13816223
372.1893310546875,0.13813467
340.0257873535156,0.13740043
341.3057556152344,0.13734765
563.5406494140625,0.1371758
798.5399780273438,0.13681635
524.367431640625,0.13659659
627.4677124023438,0.13597152
591.1643676757812,0.13564263
844.462890625,0.13555169
758.5367431640625,0.13547322
802.634765625,0.13543813
789.4803466796875,0.13447258
535.3768920898438,0.13427642
408.147705078125,0.13427353
467.25,0.13392547
727.5181884765625,0.13367558
325.06646728515625,0.13358358
567.3904418945312,0.13301611
471.2848205566406,0.13289389
362.2947998046875,0.13242702
735.4328002929688,0.13240646
773.5860595703125,0.132025
360.2798767089844,0.13186687
857.7522583007812,0.13180423
772.6161499023438,0.13140054
346.885498046875,0.13136673
614.3483276367188,0.13127674
666.48095703125,0.13124982
751.5220947265625,0.13082127
359.0899353027344,0.13035843
475.2896423339844,0.13011338
