,x,y,class,0,1
0,0,0,3,0.31111935,0.50597334
1,1,0,2,0.3949392,0.64508575
2,2,0,3,0.3028744,0.5622208
3,3,0,3,0.13622296,0.42693114
4,4,0,3,0.15297191,0.36476707
5,5,0,3,0.25550348,0.49764362
6,6,0,3,0.2911805,0.51948076
7,7,0,2,0.46422878,0.6696221
8,9,0,3,0.37137955,0.6334504
9,10,0,3,0.37283468,0.57149446
10,11,0,3,0.2767413,0.53002816
11,12,0,3,0.15806939,0.40069205
12,13,0,3,0.36084545,0.50515825
13,14,0,3,0.3565431,0.64156604
14,15,0,3,0.27678773,0.45968235
15,16,0,3,0.2951823,0.41740027
16,17,0,3,0.36239457,0.56084174
17,22,0,3,0.3620406,0.5812189
18,25,0,3,0.37203875,0.5955619
19,26,0,3,0.16722585,0.38787386
20,30,0,3,0.34977573,0.52985954
21,31,0,3,0.29640147,0.5986079
22,32,0,3,0.31617555,0.46506706
23,44,0,3,0.30494237,0.44800633
24,45,0,3,0.3475234,0.5640163
25,46,0,3,0.39941737,0.59449536
26,51,0,3,0.31317237,0.42362848
27,53,0,3,0.2829379,0.38928708
28,54,0,3,0.289065,0.41496736
29,56,0,3,0.16176389,0.4094447
30,57,0,3,0.20728274,0.39414692
31,58,0,3,0.0982588,0.2556261
32,59,0,3,0.3972063,0.61559135
33,60,0,3,0.28247803,0.39601028
34,61,0,3,0.44212183,0.57924163
35,62,0,3,0.3558302,0.55237705
36,63,0,2,0.39170676,0.65204096
37,64,0,3,0.28459084,0.46249545
38,65,0,3,0.29095083,0.48140186
39,66,0,3,0.32397392,0.49992353
40,67,0,3,0.30078664,0.7079995
41,68,0,3,0.17292422,0.5806647
42,70,0,3,0.1491261,0.40226346
43,71,0,3,0.10448918,0.6020479
44,72,0,3,0.21571048,0.6812221
45,73,0,3,0.16388977,0.6546635
46,74,0,3,0.02519287,0.31868285
47,75,0,3,0.14888433,0.62362456
48,76,0,3,0.1180145,0.47256613
49,78,0,3,0.085199565,0.5434956
50,79,0,3,0.22563554,0.7184048
51,80,0,3,0.20274746,0.69527274
52,81,0,3,0.18770064,0.68627423
53,82,0,3,0.22843665,0.72684735
54,83,0,3,0.059318613,0.4986656
55,84,0,3,0.053220898,0.5081314
56,85,0,3,0.06736177,0.45611256
57,86,0,3,0.033836205,0.35810873
58,87,0,3,0.06509364,0.5142166
59,88,0,3,0.09353188,0.58003867
60,89,0,3,0.16394821,0.6566093
61,90,0,3,0.11785936,0.6211219
62,91,0,3,0.13546705,0.652572
63,92,0,3,0.15411995,0.64664507
64,93,0,3,0.045278363,0.43164816
65,94,0,3,0.12763305,0.63302875
66,95,0,3,0.11666781,0.59156543
67,96,0,3,0.10975872,0.61048096
68,97,0,3,0.22913404,0.71706724
69,98,0,3,0.07559147,0.5715051
70,99,0,3,0.050786614,0.48012304
71,100,0,3,0.19060206,0.6736851
72,101,0,3,0.066326,0.46609864
73,102,0,3,0.09449322,0.4761474
74,103,0,3,0.103113115,0.56694895
75,104,0,3,0.16779158,0.66173273
76,105,0,3,0.120438434,0.6233821
77,106,0,3,0.048100825,0.47703734
78,107,0,3,0.048406594,0.4749519
79,108,0,3,0.22015126,0.7281004
80,109,0,3,0.18005408,0.6748804
81,110,0,3,0.13615735,0.63113165
82,111,0,3,0.19332227,0.65359896
83,112,0,3,0.16352023,0.6813797
84,113,0,3,0.096652456,0.56682646
85,114,0,3,0.13570642,0.6333061
86,115,0,3,0.13420135,0.6441791
87,116,0,3,0.13518408,0.60751754
88,117,0,3,0.05997795,0.50878394
89,118,0,3,0.106944144,0.61301965
90,119,0,3,0.1353523,0.64533955
91,120,0,3,0.10736215,0.6084627
92,121,0,3,0.22637169,0.70984983
93,122,0,3,0.08089958,0.55877733
94,123,0,3,0.19559881,0.67355096
95,124,0,3,0.22560638,0.72079736
96,125,0,3,0.065909125,0.45665804
97,126,0,3,0.17826892,0.6928946
98,127,0,3,0.23681174,0.7294562
99,0,1,3,0.31560305,0.5432522
100,1,1,3,0.36597365,0.6542028
101,2,1,3,0.27143714,0.5647906
102,3,1,3,0.20481123,0.47270235
103,4,1,3,0.2986556,0.55656236
104,5,1,3,0.33988237,0.61716104
105,6,1,2,0.42777416,0.6341322
106,7,1,2,0.4425614,0.66699934
107,8,1,2,0.4239464,0.66663724
108,9,1,3,0.37272948,0.63056093
109,10,1,3,0.4375367,0.55695593
110,11,1,3,0.25019073,0.5616475
111,12,1,3,0.23029402,0.4735139
112,13,1,3,0.39033464,0.5728755
113,14,1,3,0.24492961,0.39708164
114,17,1,3,0.15076162,0.31348312
115,18,1,3,0.3315448,0.57690203
116,19,1,3,0.3268888,0.56313306
117,20,1,3,0.38479537,0.56569093
118,23,1,3,0.13242711,0.28169832
119,24,1,3,0.23878357,0.37652287
120,25,1,3,0.30038777,0.5362928
121,30,1,3,0.361567,0.5660936
122,32,1,3,0.14116152,0.42805427
123,33,1,3,0.34993845,0.4336305
124,34,1,3,0.40530318,0.62062114
125,35,1,3,0.4016805,0.58555734
126,38,1,3,0.11979532,0.32309604
127,45,1,3,0.21952507,0.38219854
128,48,1,3,0.16065288,0.45561275
129,49,1,3,0.28732902,0.46694905
130,51,1,3,0.33726254,0.58834636
131,52,1,3,0.10527993,0.34188285
132,53,1,3,0.23683496,0.38061616
133,54,1,3,0.31772172,0.5327976
134,56,1,3,0.09852831,0.2557196
135,57,1,3,0.069167815,0.3260839
136,58,1,3,0.2142779,0.31995752
137,59,1,3,0.114181265,0.29505867
138,60,1,3,0.11377968,0.2664073
139,61,1,3,0.30384278,0.42325953
140,62,1,3,0.16027893,0.36472568
141,63,1,3,0.38032833,0.60152453
142,64,1,3,0.024774082,0.2940869
143,65,1,3,0.24487098,0.4106999
144,66,1,3,0.025955765,0.27595705
145,67,1,3,0.030258235,0.28437036
146,68,1,3,0.12963831,0.46187612
147,69,1,3,0.058468692,0.46368444
148,70,1,3,0.06779608,0.42694348
149,71,1,3,0.0823683,0.5166871
150,72,1,3,0.018756147,0.34914756
151,73,1,3,0.12710322,0.5141544
152,74,1,3,0.03534036,0.36884952
153,75,1,3,0.014341241,0.31597796
154,76,1,3,0.02766739,0.42207757
