,control_04,max
383.32877,18953.0,18953.0
365.31464,18918.0,18918.0
350.29535,18773.0,18773.0
798.534,18682.0,18682.0
760.5808,18606.0,18606.0
368.3045,18344.0,18344.0
799.53894,18297.0,18297.0
384.33374,18241.0,18241.0
577.5145,18229.0,18229.0
364.3097,18208.0,18208.0
761.58575,18205.0,18205.0
367.28955,18048.0,18048.0
351.3003,18035.0,18035.0
826.5677,17913.0,17913.0
824.5528,17769.0,17769.0
382.31882,17761.0,17761.0
381.30887,17756.0,17756.0
788.6095,17733.0,17733.0
782.56476,17621.0,17621.0
366.28958,17599.0,17599.0
380.30392,17542.0,17542.0
739.4618,17520.0,17520.0
786.5946,17449.0,17449.0
774.59515,17374.0,17374.0
348.27545,17370.0,17370.0
349.2854,17328.0,17328.0
746.56647,17318.0,17318.0
752.5512,17255.0,17255.0
800.5439,17082.0,17082.0
366.3246,17050.0,17050.0
784.51965,17015.0,17015.0
783.5647,16976.0,16976.0
768.5504,16972.0,16972.0
770.5054,16875.0,16875.0
723.4876,16867.0,16867.0
825.55273,16810.0,16810.0
796.5191,16662.0,16662.0
827.5676,16643.0,16643.0
787.59955,16478.0,16478.0
732.5471,16429.0,16429.0
789.61444,16262.0,16262.0
808.57855,16253.0,16253.0
754.5311,16225.0,16225.0
578.5195,16134.0,16134.0
369.30444,16071.0,16071.0
515.3475,16033.0,16033.0
740.4668,16030.0,16030.0
762.5907,16029.0,16029.0
794.5042,16025.0,16025.0
758.5659,15992.0,15992.0
812.54333,15941.0,15941.0
399.323,15903.0,15903.0
784.57465,15826.0,15826.0
363.2997,15812.0,15812.0
780.54486,15785.0,15785.0
797.52405,15589.0,15589.0
822.53284,15425.0,15425.0
820.51794,15298.0,15298.0
775.6001,15259.0,15259.0
767.4905,15223.0,15223.0
809.5835,15178.0,15178.0
765.4756,14993.0,14993.0
810.53345,14905.0,14905.0
796.5791,14760.0,14760.0
753.55615,14719.0,14719.0
724.49255,14635.0,14635.0
605.5432,14633.0,14633.0
603.5283,14479.0,14479.0
785.5246,14460.0,14460.0
828.5726,14418.0,14418.0
747.5664,14408.0,14408.0
790.5144,14389.0,14389.0
575.49963,14297.0,14297.0
759.56586,14267.0,14267.0
751.52124,14166.0,14166.0
781.5498,14110.0,14110.0
821.5229,14099.0,14099.0
398.31305,14095.0,14095.0
415.31726,14063.0,14063.0
801.5439,14058.0,14058.0
768.4954,14033.0,14033.0
397.3081,14029.0,14029.0
771.5053,14010.0,14010.0
813.5483,14005.0,14005.0
806.5036,13992.0,13992.0
804.5437,13985.0,13985.0
496.33838,13924.0,13924.0
591.5289,13895.0,13895.0
810.59344,13871.0,13871.0
352.30524,13835.0,13835.0
749.50134,13797.0,13797.0
579.5294,13774.0,13774.0
531.34174,13602.0,13602.0
823.53784,13545.0,13545.0
733.5521,13473.0,13473.0
379.29398,13456.0,13456.0
737.4469,13445.0,13445.0
766.4805,13428.0,13428.0
811.5384,13367.0,13367.0
750.5363,13359.0,13359.0
785.57965,13334.0,13334.0
606.54816,13271.0,13271.0
772.58026,13239.0,13239.0
834.5323,13217.0,13217.0
339.29086,13166.0,13166.0
741.47174,13112.0,13112.0
814.5532,13047.0,13047.0
604.53326,13022.0,13022.0
382.2838,12875.0,12875.0
534.3666,12827.0,12827.0
795.50916,12802.0,12802.0
362.28976,12753.0,12753.0
576.5046,12556.0,12556.0
611.5329,12507.0,12507.0
549.48584,12349.0,12349.0
761.4458,12342.0,12342.0
352.27026,12329.0,12329.0
367.32953,12273.0,12273.0
532.3467,12268.0,12268.0
516.3524,12130.0,12130.0
752.5212,12107.0,12107.0
778.52997,12003.0,12003.0
365.27963,11983.0,11983.0
325.28653,11970.0,11970.0
534.29156,11962.0,11962.0
773.5852,11925.0,11925.0
753.47614,11907.0,11907.0
563.5002,11805.0,11805.0
533.3566,11762.0,11762.0
562.32526,11698.0,11698.0
811.5984,11673.0,11673.0
786.5296,11619.0,11619.0
763.4607,11608.0,11608.0
790.6194,11594.0,11594.0
569.4049,11533.0,11533.0
524.36707,11409.0,11409.0
805.54865,11376.0,11376.0
364.26968,11198.0,11198.0
721.47266,10941.0,10941.0
874.7254,10917.0,10917.0
902.75903,10891.0,10891.0
663.45044,10784.0,10784.0
613.5128,10775.0,10775.0
504.34302,10773.0,10773.0
338.29092,10765.0,10765.0
599.4985,10759.0,10759.0
400.32797,10682.0,10682.0
755.5361,10653.0,10653.0
601.51337,10638.0,10638.0
518.3173,10459.0,10459.0
812.50836,10394.0,10394.0
846.53674,10268.0,10268.0
808.51355,10060.0,10060.0
535.3715,10022.0,10022.0
497.33835,10011.0,10011.0
725.4425,9992.0,9992.0
589.514,9961.0,9961.0
807.5086,9828.0,9828.0
740.5168,9787.0,9787.0
711.42816,9734.0,9734.0
782.50476,9505.0,9505.0
647.4162,9439.0,9439.0
769.49536,9303.0,9303.0
510.35272,9224.0,9224.0
829.5725,9199.0,9199.0
847.5367,9124.0,9124.0
662.4405,9053.0,9053.0
514.3375,9029.0,9029.0
848.55164,8895.0,8895.0
845.66675,8827.0,8827.0
627.53217,8786.0,8786.0
750.5063,8739.0,8739.0
592.5338,8653.0,8653.0
385.3437,8583.0,8583.0
664.4504,8529.0,8529.0
737.5019,8523.0,8523.0
835.53723,8438.0,8438.0
546.351,8437.0,8437.0
738.44684,8381.0,8381.0
351.2653,8373.0,8373.0
548.3059,8086.0,8086.0
335.26605,7996.0,7996.0
525.372,7855.0,7855.0
725.5025,7826.0,7826.0
849.5566,7806.0,7806.0
747.48645,7652.0,7652.0
563.3252,7612.0,7612.0
818.56305,7513.0,7513.0
323.26663,7484.0,7484.0
342.01575,7449.0,7449.0
875.49536,7371.0,7371.0
530.3318,7332.0,7332.0
802.5488,7293.0,7293.0
396.29816,7278.0,7278.0
735.427,7203.0,7203.0
517.36237,7150.0,7150.0
326.2915,7099.0,7099.0
844.4618,7062.0,7062.0
474.28445,7059.0,7059.0
353.2752,7057.0,7057.0
617.1776,7032.0,7032.0
413.30234,7023.0,7023.0
324.27658,6980.0,6980.0
616.17267,6955.0,6955.0
766.5355,6917.0,6917.0
903.529,6803.0,6803.0
513.3326,6798.0,6798.0
313.2721,6778.0,6778.0
358.00998,6769.0,6769.0
549.3509,6586.0,6586.0
476.35934,6293.0,6293.0
416.3222,6289.0,6289.0
767.2105,6138.0,6138.0
383.2888,5910.0,5910.0
336.276,5794.0,5794.0
745.47156,5419.0,5419.0
522.3522,5270.0,5270.0
753.5261,5236.0,5236.0
763.59564,5099.0,5099.0
809.5185,5068.0,5068.0
551.3658,5035.0,5035.0
789.47943,4998.0,4998.0
730.5322,4974.0,4974.0
768.21545,4880.0,4880.0
812.60333,4844.0,4844.0
535.2965,4798.0,4798.0
730.57227,4786.0,4786.0
754.4811,4718.0,4718.0
340.28082,4620.0,4620.0
828.50757,4582.0,4582.0
648.42114,4560.0,4560.0
722.4776,4524.0,4524.0
918.2433,4515.0,4515.0
395.2932,4502.0,4502.0
343.0157,4497.0,4497.0
472.38452,4485.0,4485.0
544.1561,4281.0,4281.0
607.3881,4270.0,4270.0
764.46564,4258.0,4258.0
863.6809,4252.0,4252.0
538.39636,4243.0,4243.0
350.25534,4197.0,4197.0
607.5581,4195.0,4195.0
794.5692,4195.0,4195.0
618.1826,4088.0,4088.0
628.5321,4078.0,4078.0
311.2672,4078.0,4078.0
832.5774,3985.0,3985.0
766.20056,3936.0,3936.0
468.28473,3931.0,3931.0
318.10687,3807.0,3807.0
792.4893,3742.0,3742.0
802.5888,3738.0,3738.0
359.01492,3722.0,3722.0
751.45624,3683.0,3683.0
846.6717,3668.0,3668.0
830.5575,3657.0,3657.0
548.34595,3620.0,3620.0
779.5399,3612.0,3612.0
816.5682,3599.0,3599.0
815.55817,3476.0,3476.0
837.5422,3459.0,3459.0
919.25323,3445.0,3445.0
496.1384,3397.0,3397.0
718.53284,3383.0,3383.0
484.13898,3256.0,3256.0
814.4882,3249.0,3249.0
529.32684,3213.0,3213.0
871.4655,3210.0,3210.0
838.5521,3199.0,3199.0
498.1283,3187.0,3187.0
497.15335,3177.0,3177.0
360.0199,3168.0,3168.0
602.5183,3163.0,3163.0
567.39,3159.0,3159.0
343.0457,3147.0,3147.0
565.5151,3093.0,3093.0
590.15393,3091.0,3091.0
557.1405,3046.0,3046.0
917.23834,3023.0,3023.0
818.50305,3021.0,3021.0
665.4553,2999.0,2999.0
600.5034,2996.0,2996.0
590.5189,2982.0,2982.0
797.58405,2965.0,2965.0
558.14545,2965.0,2965.0
769.2204,2928.0,2928.0
806.55865,2902.0,2902.0
851.6365,2899.0,2899.0
572.1598,2883.0,2883.0
570.16986,2868.0,2868.0
475.2894,2864.0,2864.0
487.27383,2854.0,2854.0
762.45074,2850.0,2850.0
796.6291,2840.0,2840.0
421.26697,2801.0,2801.0
840.567,2778.0,2778.0
356.01508,2747.0,2747.0
852.54645,2719.0,2719.0
547.34094,2710.0,2710.0
482.12906,2650.0,2650.0
521.3922,2597.0,2597.0
551.3258,2573.0,2573.0
419.25208,2558.0,2558.0
340.02084,2556.0,2556.0
603.1583,2552.0,2552.0
836.5372,2537.0,2537.0
913.45355,2468.0,2468.0
556.1605,2458.0,2458.0
480.10916,2455.0,2455.0
608.38806,2444.0,2444.0
619.18756,2443.0,2443.0
591.1589,2416.0,2416.0
337.28098,2408.0,2408.0
573.16974,2391.0,2391.0
615.1727,2359.0,2359.0
481.1241,2332.0,2332.0
495.13846,2332.0,2332.0
369.34943,2330.0,2330.0
510.15274,2314.0,2314.0
403.1978,2312.0,2312.0
791.6243,2302.0,2302.0
815.4882,2282.0,2282.0
486.15387,2280.0,2280.0
511.1677,2253.0,2253.0
483.139,2237.0,2237.0
334.2611,2237.0,2237.0
470.12964,2230.0,2230.0
485.15393,2226.0,2226.0
695.9939,2223.0,2223.0
818.5881,2219.0,2219.0
647.99615,2218.0,2218.0
575.9946,2215.0,2215.0
599.99347,2210.0,2210.0
503.27808,2198.0,2198.0
571.15485,2193.0,2193.0
551.9957,2188.0,2188.0
631.38696,2184.0,2184.0
672.995,2182.0,2182.0
527.9969,2174.0,2174.0
623.9923,2168.0,2168.0
897.4793,2164.0,2164.0
441.23602,2163.0,2163.0
602.1584,2162.0,2162.0
767.9955,2156.0,2156.0
671.99506,2146.0,2146.0
503.99304,2136.0,2136.0
600.9984,2131.0,2131.0
791.9943,2127.0,2127.0
414.3073,2121.0,2121.0
424.25684,2115.0,2115.0
614.1728,2110.0,2110.0
719.99274,2104.0,2104.0
723.2076,2102.0,2102.0
839.992,2084.0,2084.0
725.1975,2071.0,2071.0
720.9977,2061.0,2061.0
815.99316,2061.0,2061.0
494.1235,2056.0,2056.0
493.11356,2048.0,2048.0
591.3539,2044.0,2044.0
468.11475,2026.0,2026.0
618.1476,2023.0,2023.0
655.1458,2012.0,2012.0
528.9968,2010.0,2010.0
479.99417,2004.0,2004.0
574.1697,1976.0,1976.0
455.9953,1968.0,1968.0
384.29874,1963.0,1963.0
392.14835,1945.0,1945.0
941.4822,1944.0,1944.0
368.33948,1931.0,1931.0
347.2655,1922.0,1922.0
790.5544,1918.0,1918.0
559.1554,1911.0,1911.0
695.4589,1909.0,1909.0
512.14264,1908.0,1908.0
372.0943,1905.0,1905.0
573.48474,1900.0,1900.0
724.5225,1899.0,1899.0
850.5615,1891.0,1891.0
466.08984,1888.0,1888.0
619.1525,1880.0,1880.0
308.12735,1857.0,1857.0
849.48157,1839.0,1839.0
370.3494,1835.0,1835.0
317.00693,1825.0,1825.0
646.41125,1823.0,1823.0
743.5366,1816.0,1816.0
709.47327,1804.0,1804.0
633.1719,1802.0,1802.0
400.123,1801.0,1801.0
702.5386,1791.0,1791.0
632.1619,1790.0,1790.0
620.1925,1786.0,1786.0
742.4717,1784.0,1784.0
374.10922,1779.0,1779.0
469.0897,1765.0,1765.0
631.19196,1755.0,1755.0
458.16022,1754.0,1754.0
478.08926,1743.0,1743.0
342.12573,1739.0,1739.0
741.1917,1736.0,1736.0
724.2125,1733.0,1733.0
625.51227,1730.0,1730.0
472.14453,1722.0,1722.0
378.28403,1693.0,1693.0
467.10977,1690.0,1690.0
482.31906,1683.0,1683.0
546.146,1673.0,1673.0
649.4261,1665.0,1665.0
328.1114,1660.0,1660.0
500.1382,1657.0,1657.0
366.13458,1651.0,1651.0
790.2144,1649.0,1649.0
371.35934,1649.0,1649.0
387.1186,1639.0,1639.0
491.09863,1639.0,1639.0
580.53436,1636.0,1636.0
406.1327,1633.0,1633.0
398.10306,1626.0,1626.0
354.28516,1622.0,1622.0
784.2097,1617.0,1617.0
479.0992,1613.0,1613.0
871.68555,1606.0,1606.0
383.0838,1604.0,1604.0
473.3895,1602.0,1602.0
833.52234,1595.0,1595.0
465.08487,1591.0,1591.0
634.1768,1585.0,1585.0
492.1036,1579.0,1579.0
320.16177,1578.0,1578.0
545.1711,1565.0,1565.0
445.26584,1554.0,1554.0
469.28967,1550.0,1550.0
378.13403,1542.0,1542.0
499.13327,1542.0,1542.0
414.1323,1535.0,1535.0
604.16327,1535.0,1535.0
513.1526,1525.0,1525.0
456.1153,1523.0,1523.0
828.43756,1512.0,1512.0
388.12354,1506.0,1506.0
722.1926,1499.0,1499.0
426.13174,1486.0,1486.0
726.50745,1481.0,1481.0
630.182,1472.0,1472.0
526.18195,1461.0,1461.0
389.13348,1458.0,1458.0
775.4601,1455.0,1455.0
440.13608,1454.0,1454.0
442.136,1440.0,1440.0
738.51184,1437.0,1437.0
735.487,1434.0,1434.0
543.1612,1432.0,1432.0
833.58234,1427.0,1427.0
380.14893,1421.0,1421.0
439.1361,1414.0,1414.0
508.13782,1404.0,1404.0
386.10864,1402.0,1402.0
701.4036,1400.0,1400.0
360.09488,1399.0,1399.0
820.59796,1390.0,1390.0
517.3274,1376.0,1376.0
656.1808,1374.0,1374.0
308.15735,1373.0,1373.0
829.49255,1368.0,1368.0
385.1037,1365.0,1365.0
555.1606,1363.0,1363.0
614.51776,1360.0,1360.0
530.1468,1360.0,1360.0
550.35583,1359.0,1359.0
300.02774,1359.0,1359.0
506.12292,1355.0,1355.0
514.15753,1345.0,1345.0
334.1411,1331.0,1331.0
685.4244,1328.0,1328.0
770.22534,1322.0,1322.0
620.1575,1315.0,1315.0
740.18176,1315.0,1315.0
362.10977,1312.0,1312.0
512.2426,1312.0,1312.0
807.2036,1307.0,1307.0
359.08493,1303.0,1303.0
632.3919,1295.0,1295.0
390.13846,1292.0,1292.0
655.17584,1292.0,1292.0
314.04208,1289.0,1289.0
612.54285,1288.0,1288.0
430.37653,1277.0,1277.0
444.18088,1275.0,1275.0
302.10263,1275.0,1275.0
531.15674,1274.0,1274.0
802.6338,1273.0,1273.0
416.14722,1273.0,1273.0
368.1445,1273.0,1273.0
537.3864,1269.0,1269.0
406.1627,1258.0,1258.0
726.20245,1255.0,1255.0
458.1252,1245.0,1245.0
564.28015,1237.0,1237.0
338.13593,1235.0,1235.0
807.5636,1235.0,1235.0
545.14105,1235.0,1235.0
344.14062,1234.0,1234.0
394.16327,1233.0,1233.0
354.13016,1233.0,1233.0
635.18677,1229.0,1229.0
542.1512,1223.0,1223.0
361.2748,1223.0,1223.0
318.13187,1215.0,1215.0
756.486,1213.0,1213.0
566.28503,1212.0,1212.0
504.278,1210.0,1210.0
348.09546,1209.0,1209.0
607.15314,1207.0,1207.0
376.1241,1201.0,1201.0
471.1396,1200.0,1200.0
356.14508,1199.0,1199.0
753.5812,1198.0,1198.0
456.1803,1196.0,1196.0
352.12027,1196.0,1196.0
830.52747,1194.0,1194.0
408.14758,1194.0,1194.0
447.28574,1193.0,1193.0
741.52673,1193.0,1193.0
310.13727,1190.0,1190.0
316.02197,1185.0,1185.0
305.1025,1183.0,1183.0
423.35687,1180.0,1180.0
626.5172,1178.0,1178.0
612.4479,1177.0,1177.0
432.14645,1176.0,1176.0
454.1754,1174.0,1174.0
599.1835,1172.0,1172.0
384.17874,1171.0,1171.0
394.13327,1170.0,1170.0
469.1247,1169.0,1169.0
767.54047,1166.0,1166.0
701.5086,1159.0,1159.0
396.17816,1151.0,1151.0
468.14975,1151.0,1151.0
705.58344,1150.0,1150.0
817.5731,1145.0,1145.0
721.1877,1143.0,1143.0
378.169,1143.0,1143.0
626.3322,1141.0,1141.0
312.15717,1140.0,1140.0
460.1751,1140.0,1140.0
448.1807,1139.0,1139.0
506.25793,1138.0,1138.0
384.13873,1136.0,1136.0
357.06503,1133.0,1133.0
413.26236,1133.0,1133.0
428.14664,1130.0,1130.0
753.19116,1129.0,1129.0
418.1621,1127.0,1127.0
471.10458,1127.0,1127.0
850.4915,1125.0,1125.0
306.11246,1122.0,1122.0
525.257,1117.0,1117.0
350.13535,1117.0,1117.0
448.2157,1115.0,1115.0
524.16705,1114.0,1114.0
887.43976,1111.0,1111.0
851.56146,1111.0,1111.0
326.1365,1111.0,1111.0
778.47,1111.0,1111.0
376.1541,1110.0,1110.0
352.15027,1108.0,1108.0
332.12622,1107.0,1107.0
326.1065,1104.0,1104.0
420.182,1104.0,1104.0
819.568,1101.0,1101.0
358.11496,1100.0,1100.0
791.19934,1100.0,1100.0
434.16135,1094.0,1094.0
436.18124,1093.0,1093.0
382.16382,1093.0,1093.0
422.20193,1089.0,1089.0
312.12216,1086.0,1086.0
381.15887,1083.0,1083.0
336.156,1082.0,1082.0
300.09274,1081.0,1081.0
393.1683,1078.0,1078.0
436.14127,1071.0,1071.0
639.1466,1064.0,1064.0
478.32425,1063.0,1063.0
831.56244,1057.0,1057.0
327.11646,1053.0,1053.0
605.1732,1053.0,1053.0
446.1608,1052.0,1052.0
765.2106,1052.0,1052.0
875.22534,1048.0,1048.0
466.26483,1048.0,1048.0
370.1594,1046.0,1046.0
446.19577,1044.0,1044.0
708.2033,1042.0,1042.0
367.14453,1042.0,1042.0
364.1247,1041.0,1041.0
450.1506,1041.0,1041.0
468.20975,1041.0,1041.0
347.1255,1040.0,1040.0
509.15778,1039.0,1039.0
302.13263,1038.0,1038.0
434.20135,1038.0,1038.0
866.58075,1036.0,1036.0
632.1969,1036.0,1036.0
450.1956,1035.0,1035.0
488.1688,1034.0,1034.0
412.2174,1034.0,1034.0
314.13208,1033.0,1033.0
324.1916,1032.0,1032.0
318.04688,1030.0,1030.0
473.2645,1030.0,1030.0
396.14316,1030.0,1030.0
377.13406,1030.0,1030.0
496.2134,1028.0,1028.0
442.10098,1024.0,1024.0
795.57416,1019.0,1019.0
358.21497,1018.0,1018.0
379.149,1018.0,1018.0
536.2415,1018.0,1018.0
420.14703,1018.0,1018.0
348.16046,1017.0,1017.0
629.16205,1015.0,1015.0
408.1826,1015.0,1015.0
382.12885,1014.0,1014.0
372.1893,1013.0,1013.0
482.16406,1011.0,1011.0
507.13287,1009.0,1009.0
480.19415,1006.0,1006.0
494.2935,1004.0,1004.0
424.17682,1004.0,1004.0
436.21625,1003.0,1003.0
783.5097,1003.0,1003.0
417.16718,1002.0,1002.0
362.14478,1000.0,1000.0
442.20096,998.0,998.0
364.1897,998.0,998.0
422.16193,998.0,998.0
356.19006,997.0,997.0
499.17325,995.0,995.0
478.18427,995.0,995.0
404.1478,994.0,994.0
412.1824,992.0,992.0
324.12158,991.0,991.0
402.16287,991.0,991.0
458.2052,991.0,991.0
506.22794,991.0,991.0
407.07764,991.0,991.0
560.16034,990.0,990.0
376.18912,990.0,990.0
402.13788,987.0,987.0
343.1557,986.0,986.0
