,x,y
0,112,0
1,113,0
2,114,0
3,115,0
4,116,0
5,117,0
6,118,0
7,119,0
8,120,0
9,121,0
10,122,0
11,123,0
12,124,0
13,125,0
14,126,0
15,127,0
16,128,0
17,129,0
18,130,0
19,103,1
20,104,1
21,105,1
22,106,1
23,107,1
24,108,1
25,109,1
26,110,1
27,111,1
28,112,1
29,113,1
30,114,1
31,115,1
32,116,1
33,117,1
34,118,1
35,119,1
36,120,1
37,121,1
38,122,1
39,123,1
40,124,1
41,125,1
42,126,1
43,127,1
44,128,1
45,129,1
46,130,1
47,131,1
48,132,1
49,133,1
50,88,2
51,89,2
52,90,2
53,91,2
54,92,2
55,93,2
56,94,2
57,95,2
58,96,2
59,97,2
60,98,2
61,99,2
62,100,2
63,101,2
64,102,2
65,103,2
66,104,2
67,105,2
68,106,2
69,107,2
70,108,2
71,109,2
72,110,2
73,111,2
74,112,2
75,113,2
76,114,2
77,115,2
78,116,2
79,117,2
80,118,2
81,119,2
82,120,2
83,121,2
84,122,2
85,123,2
86,124,2
87,125,2
88,126,2
89,127,2
90,128,2
91,129,2
92,130,2
93,131,2
94,132,2
95,133,2
96,134,2
97,135,2
98,136,2
99,137,2
100,79,3
101,80,3
102,81,3
103,82,3
104,83,3
105,84,3
106,85,3
107,86,3
108,87,3
109,88,3
110,89,3
111,90,3
112,91,3
113,92,3
114,93,3
115,94,3
116,95,3
117,96,3
118,97,3
119,98,3
120,99,3
121,100,3
122,101,3
123,102,3
124,103,3
125,104,3
126,105,3
127,106,3
128,107,3
129,108,3
130,109,3
131,110,3
132,111,3
133,112,3
134,113,3
135,114,3
136,115,3
137,116,3
138,117,3
139,118,3
140,119,3
141,120,3
142,121,3
143,122,3
144,123,3
145,124,3
146,125,3
147,126,3
148,127,3
149,128,3
150,129,3
151,130,3
152,131,3
153,132,3
154,133,3
155,134,3
156,135,3
157,136,3
158,137,3
159,138,3
160,139,3
161,140,3
162,65,4
163,66,4
164,67,4
165,68,4
166,69,4
167,70,4
168,71,4
169,72,4
170,73,4
171,74,4
172,75,4
173,76,4
174,77,4
175,78,4
176,79,4
177,80,4
178,81,4
